acc,superkingdom,phylum
chaP_not_in_genbank,NA,NA
CAE53351.1,NA,NA
CAA31623.1,NA,NA
ABC35522.1,NA,NA
CAD91211.1,NA,NA
CAD91212.1,NA,NA
CAD91212.1,NA,NA
CAD91212.1,NA,NA
CAD91220.1,NA,NA
CAD91220.1,NA,NA
AAM80536.1,NA,NA
CAJ21198.2,NA,NA
ACM68684.1,NA,NA
ACZ55942.1,NA,NA
ACZ55942.1,NA,NA
ACZ55943.1,NA,NA
ACZ55944.1,NA,NA
1579,NA,NA
ACZ55945.1,NA,NA
ACZ55945.1,NA,NA
ACZ55946.1,NA,NA
EDY47118.1,NA,NA
EDY47118.1,NA,NA
EDY47118.1,NA,NA
ABD14711.1,NA,NA
ABD14711.1,NA,NA
ABD14712.1,NA,NA
ABD14712.1,NA,NA
CAJ96468.1,NA,NA
CAJ96470.1,NA,NA
CAJ96471.1,NA,NA
CAJ96472.1,NA,NA
CAJ96472.1,NA,NA
AFT91378.1,NA,NA
AFT91378.1,NA,NA
AFT91378.1,NA,NA
AFT91378.1,NA,NA
AFT91378.1,NA,NA
AFT91378.1,NA,NA
AHB38511.1,NA,NA
AHB38515.1,NA,NA
AHB38515.1,NA,NA
AHB38497.1,NA,NA
AHB38497.1,NA,NA
AHB38497.1,NA,NA
AHB38497.1,NA,NA
ADQ55476.1,NA,NA
ADQ55476.1,NA,NA
CAP93139.1,NA,NA
CAP93139.1,NA,NA
CAP93139.1,NA,NA
CAP93139.1,NA,NA
AEH41793.1,NA,NA
AEH41793.1,NA,NA
AEH41793.1,NA,NA
AEH41793.1,NA,NA
AEH41794.1,NA,NA
AEH41794.1,NA,NA
AEH41794.1,NA,NA
ADZ24995.1,NA,NA
ADZ24999.1,NA,NA
AFO85453.1,NA,NA
AFO85453.1,NA,NA
ABR12615.1,NA,NA
ABR12615.1,NA,NA
ABA23460.1,NA,NA
AHJ31215.1,NA,NA
AHJ31215.1,NA,NA
AHJ31215.1,NA,NA
AED90002.1,NA,NA
AED90002.1,NA,NA
AED90002.1,NA,NA
AED90002.1,NA,NA
AED90002.1,NA,NA
AED90003.1,NA,NA
AED90003.1,NA,NA
AED90003.1,NA,NA
AED90004.1,NA,NA
CAJ34374.1,NA,NA
CAJ34374.1,NA,NA
CDG76957.1,NA,NA
CDG76959.1,NA,NA
AGN74876.1,NA,NA
AGN74876.1,NA,NA
AGN74885.1,NA,NA
AGN74885.1,NA,NA
AGN74885.1,NA,NA
AGN74885.1,NA,NA
AGN74886.1,NA,NA
AGN74892.1,NA,NA
AGN74895.1,NA,NA
AGN74898.1,NA,NA
AFJ23819.1,NA,NA
AFJ23819.1,NA,NA
AFJ23825.1,NA,NA
AFJ23825.1,NA,NA
AFJ23825.1,NA,NA
AFJ23825.1,NA,NA
AFJ23826.1,NA,NA
AFJ23826.1,NA,NA
AFJ23826.1,NA,NA
AGA37267.1,NA,NA
AGA37267.1,NA,NA
